epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,797.545,0.88296,1.12313,1.10824,0.83518,0.88278,0.93344,0.73316,0.76068,1.02113,0.97656,0.000594052,0.000594052,0.000594052
96,805.103,0.80545,1.07901,1.04018,0.83518,0.88278,0.93344,0.73316,0.76068,1.02113,0.97656,0.000588552,0.000588552,0.000588552
97,812.847,0.7386,1.07349,0.94939,0.83518,0.88278,0.93344,0.73316,0.76068,1.02113,0.97656,0.000583053,0.000583053,0.000583053
98,821.042,0.85197,1.10575,1.06651,0.80288,0.91251,0.93111,0.73191,0.77279,1.02382,0.97723,0.000577553,0.000577553,0.000577553
99,831.99,0.68367,0.98625,0.97889,0.80288,0.91251,0.93111,0.73191,0.77279,1.02382,0.97723,0.000572054,0.000572054,0.000572054
100,842.7,0.68678,0.97549,0.98331,0.80288,0.91251,0.93111,0.73191,0.77279,1.02382,0.97723,0.000566554,0.000566554,0.000566554
101,853.205,0.81142,1.06265,0.97709,0.80288,0.91251,0.93111,0.73191,0.77279,1.02382,0.97723,0.000561055,0.000561055,0.000561055
102,862.716,0.76028,0.97268,1.01216,0.82731,0.90791,0.94439,0.75481,0.75268,0.98789,0.96909,0.000555556,0.000555556,0.000555556
103,871.96,0.71483,1.00081,0.98453,0.82731,0.90791,0.94439,0.75481,0.75268,0.98789,0.96909,0.000550056,0.000550056,0.000550056
104,879.697,0.7429,1.07161,1.01837,0.82731,0.90791,0.94439,0.75481,0.75268,0.98789,0.96909,0.000544557,0.000544557,0.000544557
105,887.625,0.84932,1.11357,1.00917,0.82731,0.90791,0.94439,0.75481,0.75268,0.98789,0.96909,0.000539057,0.000539057,0.000539057
106,895.811,0.84926,1.02487,1.00858,0.82816,0.92128,0.95585,0.78299,0.71382,0.93373,0.96082,0.000533558,0.000533558,0.000533558
107,903.856,0.77719,1.03869,1.00329,0.82816,0.92128,0.95585,0.78299,0.71382,0.93373,0.96082,0.000528058,0.000528058,0.000528058
108,911.731,0.83257,1.08744,1.0585,0.82816,0.92128,0.95585,0.78299,0.71382,0.93373,0.96082,0.000522559,0.000522559,0.000522559
109,920.052,0.76372,1.0107,0.98505,0.82816,0.92128,0.95585,0.78299,0.71382,0.93373,0.96082,0.000517059,0.000517059,0.000517059
110,929.686,0.78278,1.28692,0.98894,0.83359,0.92679,0.9585,0.78722,0.70139,0.89514,0.95451,0.00051156,0.00051156,0.00051156
111,937.7,0.9405,1.11097,1.02506,0.83359,0.92679,0.9585,0.78722,0.70139,0.89514,0.95451,0.00050606,0.00050606,0.00050606
112,946.466,0.83871,1.19782,1.04276,0.83359,0.92679,0.9585,0.78722,0.70139,0.89514,0.95451,0.000500561,0.000500561,0.000500561
113,954.898,0.7253,0.88154,1.00437,0.83359,0.92679,0.9585,0.78722,0.70139,0.89514,0.95451,0.000495062,0.000495062,0.000495062
114,964.938,0.82994,1.07944,1.05319,0.88277,0.89173,0.95565,0.78723,0.69811,0.9051,0.94947,0.000489562,0.000489562,0.000489562
115,973.601,0.80298,1.01326,0.99278,0.88277,0.89173,0.95565,0.78723,0.69811,0.9051,0.94947,0.000484063,0.000484063,0.000484063
116,980.935,0.86367,0.97635,1.03044,0.88277,0.89173,0.95565,0.78723,0.69811,0.9051,0.94947,0.000478563,0.000478563,0.000478563
117,987.993,0.87909,1.01701,1.05856,0.88277,0.89173,0.95565,0.78723,0.69811,0.9051,0.94947,0.000473064,0.000473064,0.000473064
118,996.016,0.76074,0.99847,1.02687,0.87591,0.90347,0.9559,0.79236,0.69865,0.9336,0.9483,0.000467564,0.000467564,0.000467564
119,1003.74,0.73334,0.97113,0.97288,0.87591,0.90347,0.9559,0.79236,0.69865,0.9336,0.9483,0.000462065,0.000462065,0.000462065
120,1011.27,0.79303,1.04016,0.98324,0.87591,0.90347,0.9559,0.79236,0.69865,0.9336,0.9483,0.000456565,0.000456565,0.000456565
121,1018.94,0.83674,1.08938,1.00655,0.87591,0.90347,0.9559,0.79236,0.69865,0.9336,0.9483,0.000451066,0.000451066,0.000451066
122,1027.27,0.72521,0.9514,1.01998,0.85711,0.88672,0.95122,0.79358,0.6873,0.91726,0.9429,0.000445567,0.000445567,0.000445567
123,1035.77,0.73955,0.96013,0.95949,0.85711,0.88672,0.95122,0.79358,0.6873,0.91726,0.9429,0.000440067,0.000440067,0.000440067
124,1045.23,0.77043,0.96468,0.99075,0.85711,0.88672,0.95122,0.79358,0.6873,0.91726,0.9429,0.000434568,0.000434568,0.000434568
125,1055.16,0.7904,1.04581,1.01594,0.85711,0.88672,0.95122,0.79358,0.6873,0.91726,0.9429,0.000429068,0.000429068,0.000429068
126,1064.14,0.68917,0.90209,0.93738,0.85602,0.90457,0.95283,0.79478,0.68533,0.88817,0.94852,0.000423569,0.000423569,0.000423569
127,1072,0.73777,0.92374,0.98217,0.85602,0.90457,0.95283,0.79478,0.68533,0.88817,0.94852,0.000418069,0.000418069,0.000418069
128,1079.72,0.89367,1.08036,1.13629,0.85602,0.90457,0.95283,0.79478,0.68533,0.88817,0.94852,0.00041257,0.00041257,0.00041257
129,1087.33,0.87489,1.03647,0.96916,0.85602,0.90457,0.95283,0.79478,0.68533,0.88817,0.94852,0.00040707,0.00040707,0.00040707
130,1094.69,0.75726,0.97341,0.97785,0.86587,0.88865,0.94417,0.78221,0.68086,0.88137,0.95254,0.000401571,0.000401571,0.000401571
131,1102.71,0.7875,1.01891,0.96876,0.86587,0.88865,0.94417,0.78221,0.68086,0.88137,0.95254,0.000396071,0.000396071,0.000396071
132,1111.55,0.67905,0.9858,0.96583,0.86587,0.88865,0.94417,0.78221,0.68086,0.88137,0.95254,0.000390572,0.000390572,0.000390572
133,1121.22,0.69287,0.88416,0.98794,0.86587,0.88865,0.94417,0.78221,0.68086,0.88137,0.95254,0.000385073,0.000385073,0.000385073
